sector,GRANTEE,AMOUNT COMMITTED,percentage
health,China Center for Food and Drug International Exchange,17522263.0,0.03
growth,CABI,17508343.0,0.17
health,Batavia Biosciences BV,17504343.0,0.03
health,Texas A&M Research Foundation,17501495.0,0.03
health,BlueSquare,17492752.0,0.03
growth,Sibel Health Inc.,17487500.0,0.17
health,Malaria No More UK,17473714.0,0.03
growth,International Center for Living Aquatic Resources Management,17452942.0,0.17
growth,ACCION International,17412568.0,0.17
education,Center for Global Development,17410357.0,0.58
health,CRISPR Therapeutics Inc,17319302.0,0.03
health,The Helmholtz Centre for Infection Research GmbH,17272103.0,0.03
health,World Organisation for Animal Health (WOAH),17131114.0,0.03
health,Public Health Institute,16982345.0,0.03
health,Lgenia Inc.,16959499.0,0.03
health,Quantigen LLC,16916158.0,0.03
health,FIOCRUZ,16902903.0,0.03
health,Wistar Institute of Anatomy & Biology,16856689.0,0.03
health,Kintampo Health Research Centre,16855443.0,0.03
equality,International Center for Research on Women,16838060.0,0.96
growth,Financial Sector Deepening Uganda Limited,16824032.0,0.16
education,United States Fund for UNICEF,16723379.0,0.56
equality,International Food Policy Research Institute,16699197.0,0.95
education,Imperial College London,16568756.0,0.55
health,Microensure,16559864.0,0.03
growth,Population Services International,16546222.0,0.16
growth,International Initiative for Impact Evaluation Inc.,16509551.0,0.16
health,Curtin University,16482596.0,0.03
health,Population Reference Bureau,16468432.0,0.03
growth,Asian Disaster Preparedness Center,16420752.0,0.16
education,Coca-Cola Foundation Indonesia (CCFI),16392768.0,0.55
health,International Rescue Committee,16312652.0,0.03
equality,International Institute of Information Technology Bangalore (IIITB),16300300.0,0.93
health,Tsinghua University,16259682.0,0.03
health,Stichting European Clinical Research Alliance for Infectious Diseases,16244519.0,0.03
health,International Federation of Gynecology and Obstetrics,16237903.0,0.03
education,Michigan State University,16233475.0,0.54
health,Development Research and Projects Centre,16215465.0,0.03
health,Medicines and Healthcare Products Regulatory Agency,16188573.0,0.03
health,Lumen Bioscience,16066693.0,0.03
health,Makerere University School of Public Health,16052071.0,0.03
health,Access to Medicine Foundation,16050435.0,0.03
health,University of Aberdeen Development Trust,15994378.0,0.03
health,UNSW Sydney,15960152.0,0.03
health,Donald Danforth Plant Science Center,15888392.0,0.03
health,Université de Montréal,15835069.0,0.03
growth,International Foundation for Research and Education,15832732.0,0.15
health,Arizona State University,15826851.0,0.03
health,"Sapient Bioanalytics, LLC",15826460.0,0.03
health,Prime Foundation,15775349.0,0.03
health,J. David Gladstone Institutes,15752165.0,0.03
health,The University of Edinburgh,15741199.0,0.03
health,Desmond Tutu Health Foundation NPC,15739360.0,0.03
health,Africa Public Health Foundation,15738807.0,0.03
health,University of Bristol,15718941.0,0.03
growth,Development Initiatives Poverty Research Ltd,15714584.0,0.15
growth,Opportunity International Inc.,15678388.0,0.15
health,Fraunhofer Gesellschaft,15619438.0,0.03
health,"Teva Pharmaceutical Industries, LTD",15618031.0,0.03
health,Keystone Symposia on Molecular and Cellular Biology,15554080.0,0.03
growth,Technical University of Denmark,15519406.0,0.15
others,Massachusetts Institute of Technology,15444940.0,0.43
equality,Yale University,15442170.0,0.88
education,Ministry of Culture of the Republic of Lithuania,15430396.0,0.51
equality,Georgia Tech Research Corporation,15398300.0,0.88
growth,North Carolina State University,15395454.0,0.15
health,University of Geneva,15333271.0,0.02
health,Food and Agriculture Organization of the United Nations,15326333.0,0.02
growth,Computer History Museum,15325000.0,0.15
growth,Zoetis,15318625.0,0.15
equality,International Labour Organization,15316841.0,0.87
health,Tony Blair Institute for Global Change,15307939.0,0.02
health,Masimo Corporation,15272245.0,0.02
growth,ClinGlobal,15269892.0,0.15
health,"Development Gateway, Inc.",15263204.0,0.02
growth,Friends of Seattle Waterfront,15250000.0,0.15
growth,ActionAid USA,15235762.0,0.15
health,International Budget Partnership,15230317.0,0.02
growth,Ashoka,15184305.0,0.14
health,American International Health Alliance,15156186.0,0.02
education,Colombia Ministry of Culture,15129857.0,0.5
growth,University of Colorado Denver,15129783.0,0.14
others,CARE,15103257.0,0.42
health,South African Tuberculosis Vaccine Initiative,15101307.0,0.02
health,"Global Communities, Inc.",15000002.0,0.02
others,Institute for Advanced Study,15000000.0,0.42
health,The Government of the Federal Republic of Nigeria,15000000.0,0.02
equality,Blue Meridian Partners Inc.,15000000.0,0.85
growth,Stichting IDH Sustainable Trade Initiative,15000000.0,0.14
growth,Seattle University,15000000.0,0.14
health,Aspen Pharma,15000000.0,0.02
health,Westham CO,14994210.0,0.02
growth,BRAC Tanzania,14967043.0,0.14
health,"Genesis Laboratories, Inc",14933608.0,0.02
health,Well Told Story Limited,14869892.0,0.02
others,Center for Global Development,14839647.0,0.41
health,United Way Worldwide,14650718.0,0.02
health,University of Dakar,14650287.0,0.02
growth,Heinrich Heine University,14583395.0,0.14
growth,Rothamsted Research,14481915.0,0.14
health,Vaxxas Pty Ltd,14460848.0,0.02
health,University of Massachusetts Medical School,14425299.0,0.02
health,University of Nottingham,14409157.0,0.02
health,Zoetis,14399710.0,0.02
growth,International Fund for Agricultural Development,14352697.0,0.14
health,Baylor College of Medicine,14341558.0,0.02
health,Oxford Policy Management Limited,14285322.0,0.02
health,"Aptitude Medical Systems, Inc.",14208911.0,0.02
health,Pamela Steele Associates Ltd,14103286.0,0.02
health,Ghent University,14045724.0,0.02
growth,Gudina Tumsa Foundation,14025408.0,0.13
health,"MERQ Consultancy, PLC",14017833.0,0.02
growth,New York University,13991146.0,0.13
education,The Henry J. Kaiser Family Foundation,13895798.0,0.46
education,London School of Hygiene and Tropical Medicine,13890238.0,0.46
growth,Social Alpha,13882629.0,0.13
health,African Water and Sanitation Association,13844933.0,0.02
health,University of South Florida,13788341.0,0.02
health,BIO Ventures for Global Health,13710591.0,0.02
equality,CGIAR System Organization,13700000.0,0.78
health,"Medtronic, Inc.",13661366.0,0.02
health,Centre for Advocacy and Research,13660986.0,0.02
growth,"Development Gateway, Inc.",13594814.0,0.13
health,Infectious Diseases Research Collaboration,13581732.0,0.02
health,St. George’s University Medical School,13503220.0,0.02
growth,University of York,13497689.0,0.13
health,Asian Institute of Technology,13404312.0,0.02
growth,Center for US Global Leadership,13374447.0,0.13
health,Fundação Manhiça,13343162.0,0.02
education,PATH,13341820.0,0.45
health,Icahn School of Medicine at Mount Sinai,13307386.0,0.02
equality,"Women Deliver, Inc.",13302889.0,0.76
health,Water and Sanitation for the Urban Poor,13259950.0,0.02
health,Makerere University,13257193.0,0.02
health,International Union Against Tuberculosis and Lung Disease (The Union),13249727.0,0.02
health,Options for International Health,13244399.0,0.02
growth,"Mojaloop Foundation, Inc.",13217141.0,0.13
health,Abt Global LLC,13195754.0,0.02
health,Eubiologics,13137670.0,0.02
health,"USDA, Agricultural Research Service",13077468.0,0.02
growth,Indian Council of Agricultural Research,13067858.0,0.12
equality,United Nations High Commissioner for Refugees,13025700.0,0.74
education,African Economic Research Consortium,13020455.0,0.43
health,Field Intelligence Inc,13000801.0,0.02
others,Giving Tuesday Inc.,13000000.0,0.36
education,Ministry of Culture of the Republic of Bulgaria,12986348.0,0.43
health,University of Delaware,12974689.0,0.02
others,Independent Sector,12970800.0,0.36
equality,"Financial Sector Deepening, Tanzania",12928785.0,0.74
health,University of Glasgow,12920887.0,0.02
health,Centre for Research in Infectious Diseases (CRID),12911261.0,0.02
education,"Results for Development Institute, Inc.",12906900.0,0.43
health,Riders for Health,12884506.0,0.02
health,Private Sector Health Alliance of Nigeria,12863386.0,0.02
health,University of Colorado Denver,12814063.0,0.02
health,Thrive Networks Global,12804355.0,0.02
health,Water Research Commission,12768489.0,0.02
equality,"Financial Sector Deepening, Kenya",12732516.0,0.72
growth,American Institutes for Research,12723604.0,0.12
education,"Direccion de Bibliotecas, Archivos y Museos (DIBAM)",12710994.0,0.42
health,Incepta Pharmaceuticals Ltd,12698986.0,0.02
health,Pasteur Institute,12624148.0,0.02
others,"Bill, Hillary & Chelsea Clinton Foundation",12587000.0,0.35
health,Accordia Global Health Foundation,12574116.0,0.02
health,National University of Singapore,12561412.0,0.02
health,"Maisha Meds, Inc.",12553398.0,0.02
growth,Queensland University of Technology,12522044.0,0.12
equality,"Women's World Banking, Inc.",12518502.0,0.71
growth,Farm Concern International,12510222.0,0.12
health,Mathematica Inc.,12501889.0,0.02
equality,Mercy Corps,12500000.0,0.71
education,University of Waterloo,12500000.0,0.42
health,Universiteit Antwerpen,12428965.0,0.02
health,University of Cambridge,12374184.0,0.02
health,Surgo Health P.B.C.,12373498.0,0.02
health,Vanderbilt University,12353348.0,0.02
health,"PnuVax, Inc.",12298078.0,0.02
growth,"Online Computer Library Center, Inc.",12296086.0,0.12
others,Conservation International Foundation,12274817.0,0.34
health,TCI Foundation,12267588.0,0.02
health,EGovernments Foundation,12250094.0,0.02
health,"Collaborative Drug Discovery, Inc.",12236564.0,0.02
health,"Centre for Global Health Research, Inc.",12233168.0,0.02
growth,World Vision,12211377.0,0.12
health,College of Medicine of the University of Lagos,12204428.0,0.02
health,Biovac,12179137.0,0.02
health,University of Vermont,12174424.0,0.02
health,Nossal Institute Limited,12125208.0,0.02
health,ActionAid USA,12124558.0,0.02
growth,Technical University of Madrid,12112368.0,0.12
health,Health and Nutrition Development Society (HANDS),12095599.0,0.02
health,Asian Vegetable Research and Development Center,12083990.0,0.02
growth,Dimagi Inc.,12077304.0,0.12
growth,FinMark Trust,12065501.0,0.11
growth,BRAC USA,12061764.0,0.11
health,Bayer AG,12056159.0,0.02
health,"Clinical Research Management, Inc.",12024263.0,0.02
others,Aids Fonds,12000000.0,0.33
health,India HIV/AIDS Alliance,11989169.0,0.02
growth,Asian Institute of Technology,11967341.0,0.11
growth,University of Nebraska-Lincoln,11959245.0,0.11
health,Albert Ludwigs Universitat Freiburg,11958760.0,0.02
growth,United Nations Development Programme Bangladesh,11889414.0,0.11
health,Tax Justice Network Africa,11881548.0,0.02
health,Fundacio Clinic per a la Recerca Biomedica,11844743.0,0.02
others,Batavia Biosciences BV,11809256.0,0.33
health,Queensland University of Technology,11724758.0,0.02
health,DSM-Firmenich AG,11691195.0,0.02
health,PCI India,11684181.0,0.02
others,World Vision,11619370.0,0.32
health,Addis Ababa University,11610686.0,0.02
growth,African Development Bank,11604814.0,0.11
education,Forest Ridge School of the Sacred Heart,11600000.0,0.39
growth,"ProCredit Holding, A.G.",11582000.0,0.11
health,InterAction,11581718.0,0.02
health,Chinese Preventive Medicine Association,11579545.0,0.02
growth,"The Bridgespan Group, Inc.",11562390.0,0.11
growth,Institute for Financial Management and Research,11518971.0,0.11
equality,Panorama Global,11518139.0,0.66
equality,African Women’s Development Fund,11500616.0,0.65
growth,African Capacity Building Foundation,11494527.0,0.11
health,International Confederation of Midwives,11494040.0,0.02
growth,King Abdullah University of Science and Technology,11488999.0,0.11
health,European & Developing Countries Clinical Trials Partnership (EDCTP),11452734.0,0.02
education,National Urban League Inc,11399279.0,0.38
health,"ALIMA USA, Inc.",11393000.0,0.02
health,National Sanitation Office of Senegal,11380680.0,0.02
growth,Samagra Development Associates Private Limited,11348004.0,0.11
health,Medicine in Need Corporation,11322140.0,0.02
others,Helen Keller International,11320516.0,0.31
growth,SNV USA,11307984.0,0.11
health,Weizmann Institute of Science,11306302.0,0.02
health,AxmedRx,11286773.0,0.02
health,International Organization for Migration,11250901.0,0.02
growth,"Acumen Fund, Inc.",11236256.0,0.11
health,Access to Nutrition Initiative,11212708.0,0.02
health,MRH Research Collective LTDGTE,11209410.0,0.02
equality,United Nations Capital Development Fund,11208018.0,0.64
education,The George Washington University,11194903.0,0.37
growth,Boyce Thompson Institute,11188736.0,0.11
growth,Tufts University,11092774.0,0.11
health,ENABEL,11070000.0,0.02
others,"Save the Children Federation, Inc.",11067217.0,0.31
health,Partners in Expanding Health Quality and Access,11049196.0,0.02
growth,Pan-Atlantic University Foundation,11007546.0,0.1
others,Save the Children UK,11007497.0,0.31
growth,The Chartered Institute of Procurement and Supply,10994759.0,0.1
equality,IDEO LP,10971320.0,0.62
health,New York University,10957922.0,0.02
health,Borno State Primary Health Care Development Agency,10933139.0,0.02
growth,African Union - InterAfrican Bureau for Animal Resources,10928687.0,0.1
growth,BRAC,10916066.0,0.1
health,Jacaranda Health,10877564.0,0.02
education,U.S. Chamber of Commerce Foundation,10875518.0,0.36
others,"Catholic Relief Services, Inc.",10831684.0,0.3
health,United Nations Department of Economic and Social Affairs,10829491.0,0.02
health,World Food Program USA,10760160.0,0.02
health,African Institute for Development Policy,10756642.0,0.02
growth,Financial Sector Deepening Africa,10716747.0,0.1
education,Pomona College,10700000.0,0.36
growth,Tony Blair Institute for Global Change,10692037.0,0.1
health,Organisation for Economic Co-operation and Development (OECD),10688783.0,0.02
education,"Population Council, Inc.",10685833.0,0.36
growth,The John Innes Centre,10674606.0,0.1
health,Ipas Development Foundation,10663046.0,0.02
education,Stanford University,10661200.0,0.36
health,CHU de Quebec,10643467.0,0.02
education,Global Health Council,10626709.0,0.35
others,"Financial Sector Deepening, Tanzania",10618351.0,0.29
health,International Center for Research on Women,10613237.0,0.02
growth,Precision Development Inc.,10594135.0,0.1
health,International Finance Corporation,10574143.0,0.02
